block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_wait_ratio,aic_mte1_wait_ratio,aic_mte2_wait_ratio,aic_mte3_wait_ratio,aiv_time(us),aiv_total_cycles,aiv_vec_total_cflt_ratio,aiv_vec_bankgroup_cflt_ratio,aiv_vec_bank_cflt_ratio,aiv_vec_resc_cflt_ratio,aiv_vec_mte_cflt_ratio,aiv_vec_wait_ratio,aiv_mte1_wait_ratio,aiv_mte2_wait_ratio,aiv_mte3_wait_ratio,
13,vector0,NA,NA,NA,NA,NA,NA,1702.071655,3063729,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032042,
14,cube0,1685.575562,3034036,0.085042,0.061391,0.051025,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,1685.094482,3033170,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032044,
15,cube0,1680.712769,3025283,0.094909,0.072129,0.061751,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,1680.351074,3024632,0.023640,0.023144,0.000497,0.000000,0.000000,0.072680,0.000000,0.000000,0.032042,
16,cube0,15.593889,28069,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,13.549444,24389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
17,cube0,17.188334,30939,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,12.532778,22559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
18,cube0,20.006111,36011,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,13.872778,24971,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
19,cube0,20.564444,37016,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,15.222222,27400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
20,cube0,17.800556,32041,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,12.986667,23376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
21,cube0,19.451666,35013,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,14.286111,25715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
22,cube0,20.105556,36190,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,14.028334,25251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
23,cube0,20.140556,36253,0.000000,0.000000,0.000000,0.000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,14.662778,26393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
