block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_cube_ratio,aic_cube_fp16_ratio,aic_cube_int8_ratio,aic_cube_fops,aic_cube_total_instr_number,aic_cube_fp_instr_number,aic_cube_int_instr_number,aiv_time(us),aiv_total_cycles,aiv_vec_ratio,aiv_vec_fp32_ratio,aiv_vec_fp16_ratio,aiv_vec_int32_ratio,aiv_vec_int16_ratio,aiv_vec_misc_ratio,aiv_vec_fops,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707.196655,3072954,0.506196,0.275712,0.015317,0.000000,0.000000,0.199849,17382528,
8,cube0,1720.276123,3096497,0.031598,0.031598,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1719.655518,3095380,0.509737,0.277640,0.015424,0.000000,0.000000,0.201247,17382528,
9,cube0,1708.069946,3074526,0.031008,0.031008,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1707.586670,3073656,0.507975,0.276681,0.015371,0.000000,0.000000,0.200551,17382528,
10,cube0,1714.390503,3085903,0.031026,0.031026,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1713.839966,3084912,0.509724,0.277634,0.015424,0.000000,0.000000,0.201242,17382528,
11,cube0,1689.387817,3040898,0.030730,0.030730,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688.876709,3039978,0.503293,0.274131,0.015229,0.000000,0.000000,0.198703,17382528,
12,cube0,1691.265015,3044277,0.030986,0.030986,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690.773926,3043393,0.504448,0.274760,0.015264,0.000000,0.000000,0.199159,17382528,
13,cube0,1702.568848,3064624,0.030883,0.030883,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1702.071655,3063729,0.506053,0.275634,0.015313,0.000000,0.000000,0.199793,17382528,
14,cube0,1685.575562,3034036,0.030842,0.030842,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685.094482,3033170,0.501913,0.273379,0.015187,0.000000,0.000000,0.198158,17382528,
15,cube0,1680.712769,3025283,0.029925,0.029925,0.000000,1310720,160,160,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680.351074,3024632,0.495695,0.269992,0.014999,0.000000,0.000000,0.195703,17382528,
16,cube0,15.593889,28069,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.549444,24389,0.000008,0.000000,0.000000,0.000000,0.000000,0.000008,128,
17,cube0,17.188334,30939,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.532778,22559,0.000008,0.000000,0.000000,0.000000,0.000000,0.000008,128,
18,cube0,20.006111,36011,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.872778,24971,0.000009,0.000000,0.000000,0.000000,0.000000,0.000009,128,
19,cube0,20.564444,37016,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.222222,27400,0.000009,0.000000,0.000000,0.000000,0.000000,0.000009,128,
20,cube0,17.800556,32041,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.986667,23376,0.000007,0.000000,0.000000,0.000000,0.000000,0.000007,128,
21,cube0,19.451666,35013,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.286111,25715,0.000007,0.000000,0.000000,0.000000,0.000000,0.000007,128,
22,cube0,20.105556,36190,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.028334,25251,0.000009,0.000000,0.000000,0.000000,0.000000,0.000009,128,
23,cube0,20.140556,36253,0.000000,0.000000,0.000000,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.662778,26393,0.000009,0.000000,0.000000,0.000000,0.000000,0.000009,128,
