block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_write_cache_hit,aic_write_cache_miss_allocate,aic_r0_read_cache_hit,aic_r0_read_cache_miss_allocate,aic_r1_read_cache_hit,aic_r1_read_cache_miss_allocate,aic_write_hit_rate(%),aic_read_hit_rate(%),aic_total_hit_rate(%),aiv_time(us),aiv_total_cycles,aiv_write_cache_hit,aiv_write_cache_miss_allocate,aiv_r0_read_cache_hit,aiv_r0_read_cache_miss_allocate,aiv_r1_read_cache_hit,aiv_r1_read_cache_miss_allocate,aiv_write_hit_rate(%),aiv_read_hit_rate(%),aiv_total_hit_rate(%),
10,cube0,1714.390503,3085903,14724,801,28707,5255,28699,5244,94.840576,84.538696,86.455711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1713.839966,3084912,6921,5761,45154,15384,45094,15338,54.573410,74.603622,72.702988,
11,cube0,1689.387817,3040898,14725,800,28126,5226,28064,5276,94.847023,84.252983,86.253448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1688.876709,3039978,6922,5760,45120,15315,45128,15407,54.581295,74.603622,72.703735,
12,cube0,1691.265015,3044277,14724,801,28186,5254,28207,5244,94.840576,84.305809,86.290283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1690.773926,3043393,6922,5760,45055,15359,45193,15363,54.581295,74.603622,72.703735,
13,cube0,1702.568848,3064624,14724,801,27676,5257,27695,5241,94.840576,84.062309,86.118141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1702.071655,3063729,6922,5760,45093,15382,45155,15340,54.581295,74.603622,72.703735,
14,cube0,1685.575562,3034036,14725,800,28095,5252,28103,5246,94.847023,84.259926,86.258987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1685.094482,3033170,6922,5760,45113,15373,45135,15349,54.581295,74.603622,72.703735,
15,cube0,1680.712769,3025283,14724,801,27766,5249,27766,5249,94.840576,84.101166,86.145546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680.351074,3024632,6921,5761,45084,15391,45164,15331,54.573410,74.603622,72.702988,
16,cube0,15.593889,28069,52,33,53,5,52,6,61.176472,90.517242,78.109451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.549444,24389,52,0,26,1,30,1,100.000000,96.551727,98.181816,
17,cube0,17.188334,30939,53,32,44,2,45,1,62.352940,96.739128,80.225990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.532778,22559,52,0,24,1,31,2,100.000000,94.827583,97.272728,
18,cube0,20.006111,36011,53,32,45,1,44,3,62.352940,95.698921,79.775284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.872778,24971,52,0,29,1,27,1,100.000000,96.551727,98.181816,
19,cube0,20.564444,37016,53,32,43,2,46,0,62.352940,97.802200,80.681816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.222222,27400,52,0,32,1,24,1,100.000000,96.551727,98.181816,
20,cube0,17.800556,32041,52,33,46,1,45,1,61.176472,97.849464,80.337082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.986667,23376,52,0,31,0,25,2,100.000000,96.551727,98.181816,
21,cube0,19.451666,35013,53,32,41,2,43,0,62.352940,97.674416,80.116959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.286111,25715,52,0,27,1,29,1,100.000000,96.551727,98.181816,
22,cube0,20.105556,36190,53,32,46,1,46,1,62.352940,97.872337,81.005585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.028334,25251,52,0,25,1,31,1,100.000000,96.551727,98.181816,
23,cube0,20.140556,36253,53,32,47,1,46,1,62.352940,97.894737,81.111115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.662778,26393,52,0,31,1,25,1,100.000000,96.551727,98.181816,
